Identifier,Status,Marker,Grade,Maximum Grade,Marking workflow state (Release grades and feedback),Grade can be changed,Last modified (submission),Last modified (grade),Feedback comments
Participant 12895916,Submitted for grading - Not marked,Prahlad Saldanha,58,100,Not marked,Yes,"Wednesday, 1 May 2024, 8:50 PM","Wednesday, 1 May 2024, 8:50 PM",
Participant 12895839,Submitted for grading - Not marked,Shaun Dordoy,58,100,Not marked,Yes,"Wednesday, 1 May 2024, 8:08 PM","Wednesday, 1 May 2024, 8:08 PM",
Participant 12895755,Submitted for grading - Not marked,Ryan Statton,65,100,Not marked,Yes,"Wednesday, 1 May 2024, 7:32 PM","Wednesday, 1 May 2024, 7:15 PM",
Participant 12895712,Submitted for grading - Not marked,Ryan Statton,100,100,Not marked,Yes,"Wednesday, 1 May 2024, 6:22 PM","Wednesday, 1 May 2024, 6:22 PM",
Participant 12895731,Submitted for grading - Not marked,Despina Djama,77,100,Not marked,Yes,"Wednesday, 1 May 2024, 6:14 PM","Wednesday, 1 May 2024, 3:20 PM",
Participant 12895715,Submitted for grading - Not marked,Nomiki Koutsoumpari,58,100,Not marked,Yes,"Wednesday, 1 May 2024, 5:37 PM","Wednesday, 1 May 2024, 5:37 PM",
Participant 12895711,Submitted for grading - Not marked,Nomiki Koutsoumpari,58,100,Not marked,Yes,"Wednesday, 1 May 2024, 5:36 PM","Wednesday, 1 May 2024, 5:36 PM",
Participant 12895776,Submitted for grading - Not marked,Spencer Talbot,62,100,Not marked,Yes,"Wednesday, 1 May 2024, 4:51 PM","Wednesday, 1 May 2024, 4:51 PM",
Participant 12895813,Submitted for grading - Not marked,Daniel Graham,65,100,Not marked,Yes,"Wednesday, 1 May 2024, 4:38 PM","Wednesday, 1 May 2024, 4:38 PM",
Participant 12895810,Submitted for grading - Not marked,Anna Caunt,58,100,Not marked,Yes,"Wednesday, 1 May 2024, 2:00 PM","Wednesday, 1 May 2024, 1:53 PM",
Participant 12895816,Submitted for grading - Not marked,Prahlad Saldanha,65,100,Not marked,Yes,"Wednesday, 1 May 2024, 1:21 PM","Wednesday, 1 May 2024, 1:21 PM",
Participant 12895834,Submitted for grading - Not marked,Anna Caunt,55,100,Not marked,Yes,"Wednesday, 1 May 2024, 1:12 PM","Wednesday, 1 May 2024, 1:12 PM",
Participant 12895846,Submitted for grading - Not marked,Nomiki Koutsoumpari,62,100,Not marked,Yes,"Wednesday, 1 May 2024, 1:09 PM",-,
Participant 12895818,Submitted for grading - Not marked,Nomiki Koutsoumpari,62,100,Not marked,Yes,"Wednesday, 1 May 2024, 12:06 PM","Wednesday, 1 May 2024, 12:06 PM",
Participant 12895845,Submitted for grading - Not marked,Anna Caunt,58,100,Not marked,Yes,"Wednesday, 1 May 2024, 11:58 AM","Wednesday, 1 May 2024, 11:58 AM",
Participant 12895793,Submitted for grading - Not marked,Despina Djama,77,100,Not marked,Yes,"Wednesday, 1 May 2024, 11:09 AM",-,
Participant 12895961,Submitted for grading - Not marked,Anna Caunt,58,100,Not marked,Yes,"Wednesday, 1 May 2024, 1:41 AM","Wednesday, 1 May 2024, 1:41 AM",
Participant 12895696,Submitted for grading - Not marked,Shaun Dordoy,58,100,Not marked,Yes,"Tuesday, 30 April 2024, 11:08 PM","Tuesday, 30 April 2024, 11:08 PM",
Participant 12895946,Submitted for grading - Not marked,Despina Djama,65,100,Not marked,Yes,"Tuesday, 30 April 2024, 11:04 PM",-,
Participant 12895922,Submitted for grading - Not marked,Louise Crichton,68,100,Not marked,Yes,"Tuesday, 30 April 2024, 10:49 PM","Thursday, 11 April 2024, 6:31 PM",
Participant 12895719,Submitted for grading - Marking completed,Dar'ya Klymenko,58,100,Marking completed,Yes,"Tuesday, 30 April 2024, 10:37 PM","Tuesday, 30 April 2024, 10:37 PM",
Participant 12895873,Submitted for grading - Not marked,Joel Solomons,58,100,Not marked,Yes,"Tuesday, 30 April 2024, 10:30 PM","Tuesday, 30 April 2024, 10:30 PM",
Participant 12895795,Submitted for grading - Not marked,Daniel Graham,58,100,Not marked,Yes,"Tuesday, 30 April 2024, 9:53 PM","Tuesday, 30 April 2024, 9:53 PM",
Participant 12895800,Submitted for grading - Not marked,Shaun Dordoy,58,100,Not marked,Yes,"Tuesday, 30 April 2024, 9:45 PM","Tuesday, 30 April 2024, 9:45 PM",
Participant 12895754,Submitted for grading - Not marked,Louise Crichton,65,100,Not marked,Yes,"Tuesday, 30 April 2024, 9:36 PM","Tuesday, 30 April 2024, 9:36 PM",
Participant 12895840,Submitted for grading - Not marked,Despina Djama,65,100,Not marked,Yes,"Tuesday, 30 April 2024, 8:09 PM",-,
Participant 12895758,Submitted for grading - Not marked,Nomiki Koutsoumpari,62,100,Not marked,Yes,"Tuesday, 30 April 2024, 6:00 PM","Tuesday, 30 April 2024, 6:00 PM",
Participant 12895728,Submitted for grading - Not marked,Nomiki Koutsoumpari,62,100,Not marked,Yes,"Tuesday, 30 April 2024, 5:26 PM","Tuesday, 30 April 2024, 5:26 PM",
Participant 12895770,Submitted for grading - Marking completed,Dar'ya Klymenko,65,100,Marking completed,Yes,"Tuesday, 30 April 2024, 4:59 PM","Tuesday, 30 April 2024, 4:59 PM",
Participant 12895903,Submitted for grading - Not marked,Shaun Dordoy,62,100,Not marked,Yes,"Tuesday, 30 April 2024, 3:05 PM","Tuesday, 30 April 2024, 3:05 PM",
Participant 12895859,Submitted for grading - Marking completed,Dar'ya Klymenko,65,100,Marking completed,Yes,"Tuesday, 30 April 2024, 2:50 PM","Tuesday, 30 April 2024, 2:50 PM",
Participant 12895782,Submitted for grading - Not marked,Joel Solomons,62,100,Not marked,Yes,"Tuesday, 30 April 2024, 2:50 PM","Tuesday, 30 April 2024, 2:50 PM",
Participant 12895877,Submitted for grading - Not marked,Despina Djama,58,100,Not marked,Yes,"Tuesday, 30 April 2024, 1:26 PM","Tuesday, 30 April 2024, 1:26 PM",
Participant 12895913,Submitted for grading - Not marked,Nomiki Koutsoumpari,65,100,Not marked,Yes,"Monday, 29 April 2024, 8:26 PM","Monday, 29 April 2024, 8:26 PM",
Participant 12895902,Submitted for grading - Not marked,Despina Djama,58,100,Not marked,Yes,"Monday, 29 April 2024, 5:33 PM","Monday, 29 April 2024, 5:33 PM",
Participant 12895778,Submitted for grading - Not marked,Ryan Statton,62,100,Not marked,Yes,"Monday, 29 April 2024, 4:46 PM","Monday, 29 April 2024, 4:20 PM",
Participant 12895726,Submitted for grading - Not marked,Shaun Dordoy,77,100,Not marked,Yes,"Monday, 29 April 2024, 4:05 PM","Monday, 29 April 2024, 2:08 PM",
Participant 12895733,Submitted for grading - Not marked,Nomiki Koutsoumpari,58,100,Not marked,Yes,"Monday, 29 April 2024, 3:38 PM","Monday, 29 April 2024, 3:38 PM",
Participant 12895833,Submitted for grading - Marking completed,Dar'ya Klymenko,62,100,Marking completed,Yes,"Monday, 29 April 2024, 3:25 PM","Monday, 29 April 2024, 3:25 PM",
Participant 12895745,Submitted for grading - Not marked,Anna Caunt,55,100,Not marked,Yes,"Monday, 29 April 2024, 12:30 PM","Monday, 29 April 2024, 12:30 PM",
Participant 12895737,Submitted for grading - Not marked,Anna Caunt,58,100,Not marked,Yes,"Monday, 29 April 2024, 11:52 AM","Monday, 29 April 2024, 11:52 AM",
Participant 12895705,Submitted for grading - Not marked,Shaun Dordoy,62,100,Not marked,Yes,"Sunday, 28 April 2024, 10:14 PM",-,
Participant 12895893,Submitted for grading - Not marked,Joel Solomons,58,100,Not marked,Yes,"Sunday, 28 April 2024, 5:07 PM","Sunday, 28 April 2024, 5:07 PM",
Participant 12895894,Submitted for grading - Not marked,Anna Caunt,58,100,Not marked,Yes,"Sunday, 28 April 2024, 2:31 PM","Sunday, 28 April 2024, 2:31 PM",
Participant 12895862,Submitted for grading - Not marked,Shaun Dordoy,65,100,Not marked,Yes,"Sunday, 28 April 2024, 12:48 PM","Sunday, 28 April 2024, 12:48 PM",
Participant 12895910,Submitted for grading - Not marked,Daniel Graham,68,100,Not marked,Yes,"Sunday, 28 April 2024, 12:40 PM","Sunday, 28 April 2024, 11:41 AM",
Participant 12895706,Submitted for grading - Not marked,Joel Solomons,55,100,Not marked,Yes,"Sunday, 28 April 2024, 8:54 AM","Sunday, 28 April 2024, 8:54 AM",
Participant 12895952,Submitted for grading - Not marked,Shaun Dordoy,55,100,Not marked,Yes,"Saturday, 27 April 2024, 10:01 PM","Saturday, 27 April 2024, 10:01 PM",
Participant 12895721,Submitted for grading - Not marked,Anna Caunt,88,100,Not marked,Yes,"Saturday, 27 April 2024, 3:42 PM","Saturday, 27 April 2024, 3:42 PM",
Participant 12895963,Submitted for grading - Not marked,Daniel Graham,65,100,Not marked,Yes,"Saturday, 27 April 2024, 3:13 PM","Saturday, 27 April 2024, 3:13 PM",
Participant 12895735,Submitted for grading - Marking completed,Dar'ya Klymenko,68,100,Marking completed,Yes,"Saturday, 27 April 2024, 3:09 PM","Friday, 26 April 2024, 1:07 PM",
Participant 12895835,Submitted for grading - Not marked,Louise Crichton,65,100,Not marked,Yes,"Saturday, 27 April 2024, 11:19 AM","Saturday, 27 April 2024, 10:48 AM",
Participant 12895730,Submitted for grading - Not marked,Anna Caunt,62,100,Not marked,Yes,"Friday, 26 April 2024, 3:44 PM","Friday, 26 April 2024, 3:44 PM",
Participant 12895764,Submitted for grading - Not marked,Despina Djama,65,100,Not marked,Yes,"Friday, 26 April 2024, 2:31 PM","Friday, 26 April 2024, 2:31 PM",
Participant 12895786,Submitted for grading - Not marked,Joel Solomons,55,100,Not marked,Yes,"Friday, 26 April 2024, 1:34 PM","Friday, 26 April 2024, 1:34 PM",
Participant 12895714,Submitted for grading - Marking completed,Dar'ya Klymenko,62,100,Marking completed,Yes,"Friday, 26 April 2024, 10:03 AM","Friday, 26 April 2024, 10:03 AM",
Participant 12895759,Submitted for grading - Not marked,Prahlad Saldanha,68,100,Not marked,Yes,"Thursday, 25 April 2024, 2:48 PM","Thursday, 25 April 2024, 2:48 PM",
Participant 12895720,Submitted for grading - Not marked,Anna Caunt,65,100,Not marked,Yes,"Thursday, 25 April 2024, 1:29 PM","Thursday, 25 April 2024, 1:29 PM",
Participant 12895939,Submitted for grading - Not marked,Prahlad Saldanha,65,100,Not marked,Yes,"Thursday, 25 April 2024, 12:11 PM","Thursday, 25 April 2024, 12:11 PM",
Participant 12895885,Submitted for grading - Not marked,Prahlad Saldanha,68,100,Not marked,Yes,"Wednesday, 24 April 2024, 8:09 PM","Wednesday, 24 April 2024, 8:09 PM",
Participant 12895774,Submitted for grading - Marking completed,Dar'ya Klymenko,62,100,Marking completed,Yes,"Wednesday, 24 April 2024, 5:30 PM","Wednesday, 24 April 2024, 5:30 PM",
Participant 12895966,Submitted for grading - Not marked,Louise Crichton,58,100,Not marked,Yes,"Wednesday, 24 April 2024, 3:15 PM","Wednesday, 24 April 2024, 3:15 PM",
