Identifier,Status,Marker,Grade,Maximum Grade,Marking workflow state (Release grades and feedback),Grade can be changed,Last modified (submission),Last modified (grade),Feedback comments
Participant 12895972,Submitted for grading - Not marked,Prahlad Saldanha,65,100,Not marked,Yes,"Friday, 3 May 2024, 11:18 AM","Friday, 3 May 2024, 11:18 AM",
Participant 12895789,Submitted for grading - Not marked,Despina Djama,65,100,Not marked,Yes,"Friday, 3 May 2024, 11:17 AM","Thursday, 2 May 2024, 11:40 PM",
Participant 12895750,Submitted for grading - Not marked,Prahlad Saldanha,68,100,Not marked,Yes,"Friday, 3 May 2024, 11:16 AM","Friday, 3 May 2024, 11:16 AM",
Participant 12895723,Submitted for grading - Not marked,Prahlad Saldanha,58,100,Not marked,Yes,"Friday, 3 May 2024, 11:16 AM","Friday, 3 May 2024, 11:16 AM",
Participant 12895708,Submitted for grading - Marking completed,Dar'ya Klymenko,55,100,Marking completed,Yes,"Friday, 3 May 2024, 11:15 AM","Friday, 3 May 2024, 11:15 AM",
Participant 12895884,Submitted for grading - Not marked,Alvise Rogers,58,100,Not marked,Yes,"Friday, 3 May 2024, 11:14 AM",-,
Participant 12895809,Submitted for grading - Not marked,Spencer Talbot,68,100,Not marked,Yes,"Friday, 3 May 2024, 11:13 AM","Friday, 3 May 2024, 11:13 AM",
Participant 12895738,Submitted for grading - Not marked,Louise Crichton,68,100,Not marked,Yes,"Friday, 3 May 2024, 11:03 AM","Friday, 3 May 2024, 10:29 AM",
Participant 12895702,Submitted for grading - Not marked,Daniel Graham,58,100,Not marked,Yes,"Friday, 3 May 2024, 11:01 AM","Friday, 3 May 2024, 11:01 AM",
Participant 12895858,Submitted for grading - Not marked,Despina Djama,88,100,Not marked,Yes,"Friday, 3 May 2024, 10:59 AM","Friday, 3 May 2024, 10:59 AM",
Participant 12895878,Submitted for grading - Not marked,Spencer Talbot,65,100,Not marked,Yes,"Friday, 3 May 2024, 10:58 AM","Friday, 3 May 2024, 10:58 AM",
Participant 12895882,Submitted for grading - Not marked,Ryan Statton,58,100,Not marked,Yes,"Friday, 3 May 2024, 10:58 AM","Friday, 3 May 2024, 10:58 AM",
Participant 12895851,Submitted for grading - Not marked,Ryan Statton,65,100,Not marked,Yes,"Friday, 3 May 2024, 10:52 AM","Friday, 3 May 2024, 10:52 AM",
Participant 12895905,Submitted for grading - Not marked,Louise Crichton,58,100,Not marked,Yes,"Friday, 3 May 2024, 10:45 AM","Friday, 3 May 2024, 10:45 AM",
Participant 12895796,Submitted for grading - Not marked,Nomiki Koutsoumpari,62,100,Not marked,Yes,"Friday, 3 May 2024, 10:41 AM","Friday, 3 May 2024, 10:41 AM",
Participant 12895763,Submitted for grading - Not marked,Nomiki Koutsoumpari,58,100,Not marked,Yes,"Friday, 3 May 2024, 10:34 AM","Friday, 3 May 2024, 10:34 AM",
Participant 12895911,Submitted for grading - Not marked,Louise Crichton,58,100,Not marked,Yes,"Friday, 3 May 2024, 10:23 AM","Friday, 3 May 2024, 10:21 AM",
Participant 12895727,Submitted for grading - Not marked,Daniel Graham,58,100,Not marked,Yes,"Friday, 3 May 2024, 10:21 AM","Friday, 3 May 2024, 10:21 AM",
Participant 12895820,Submitted for grading - Not marked,Ryan Statton,58,100,Not marked,Yes,"Friday, 3 May 2024, 10:19 AM","Friday, 3 May 2024, 10:19 AM",
Participant 12895919,Submitted for grading - Not marked,Louise Crichton,58,100,Not marked,Yes,"Friday, 3 May 2024, 10:19 AM","Friday, 3 May 2024, 10:19 AM",
Participant 12895827,Submitted for grading - Not marked,Ryan Statton,58,100,Not marked,Yes,"Friday, 3 May 2024, 10:18 AM","Friday, 3 May 2024, 10:11 AM",
Participant 12895955,Submitted for grading - Not marked,Spencer Talbot,77,100,Not marked,Yes,"Friday, 3 May 2024, 10:17 AM","Friday, 3 May 2024, 10:17 AM",
Participant 12895849,Submitted for grading - Not marked,Joel Solomons,62,100,Not marked,Yes,"Friday, 3 May 2024, 10:15 AM","Friday, 3 May 2024, 10:15 AM",
Participant 12895864,Submitted for grading - Not marked,Louise Crichton,65,100,Not marked,Yes,"Friday, 3 May 2024, 10:15 AM","Thursday, 2 May 2024, 12:46 AM",
Participant 12895718,Submitted for grading - Not marked,Anna Caunt,58,100,Not marked,Yes,"Friday, 3 May 2024, 10:14 AM","Friday, 3 May 2024, 10:14 AM",
Participant 12895762,Submitted for grading - Not marked,Spencer Talbot,68,100,Not marked,Yes,"Friday, 3 May 2024, 9:59 AM","Thursday, 2 May 2024, 10:47 PM",
Participant 12895828,Submitted for grading - Not marked,Louise Crichton,58,100,Not marked,Yes,"Friday, 3 May 2024, 9:48 AM","Friday, 3 May 2024, 9:48 AM",
Participant 12895960,Submitted for grading - Not marked,Louise Crichton,58,100,Not marked,Yes,"Friday, 3 May 2024, 9:33 AM","Friday, 3 May 2024, 7:56 AM",
Participant 12895944,Submitted for grading - Not marked,Alvise Rogers,52,100,Not marked,Yes,"Friday, 3 May 2024, 9:06 AM","Friday, 3 May 2024, 9:06 AM",
Participant 12895704,Submitted for grading - Not marked,Prahlad Saldanha,65,100,Not marked,Yes,"Friday, 3 May 2024, 8:26 AM","Friday, 3 May 2024, 8:26 AM",
Participant 12895794,Submitted for grading - Not marked,Alvise Rogers,65,100,Not marked,Yes,"Friday, 3 May 2024, 8:18 AM","Thursday, 2 May 2024, 10:46 PM",
Participant 12895807,Submitted for grading - Not marked,Shaun Dordoy,65,100,Not marked,Yes,"Friday, 3 May 2024, 8:15 AM","Friday, 3 May 2024, 8:15 AM",
Participant 12895749,Submitted for grading - Not marked,Ryan Statton,58,100,Not marked,Yes,"Friday, 3 May 2024, 7:43 AM","Friday, 3 May 2024, 7:43 AM",
Participant 12895931,Submitted for grading - Not marked,Nomiki Koutsoumpari,58,100,Not marked,Yes,"Friday, 3 May 2024, 7:26 AM","Friday, 3 May 2024, 7:26 AM",
Participant 12895801,Submitted for grading - Not marked,Alvise Rogers,77,100,Not marked,Yes,"Friday, 3 May 2024, 6:21 AM","Friday, 3 May 2024, 6:21 AM",
Participant 12895826,Submitted for grading - Not marked,Alvise Rogers,65,100,Not marked,Yes,"Friday, 3 May 2024, 6:19 AM",-,
Participant 12895716,Submitted for grading - Not marked,Prahlad Saldanha,65,100,Not marked,Yes,"Friday, 3 May 2024, 6:17 AM","Friday, 3 May 2024, 6:17 AM",
Participant 12895855,Submitted for grading - Not marked,Shaun Dordoy,65,100,Not marked,Yes,"Friday, 3 May 2024, 6:10 AM","Friday, 3 May 2024, 6:10 AM",
Participant 12895767,Submitted for grading - Not marked,Nomiki Koutsoumpari,62,100,Not marked,Yes,"Friday, 3 May 2024, 5:25 AM","Friday, 3 May 2024, 5:25 AM",
Participant 12895908,Submitted for grading - Not marked,Louise Crichton,58,100,Not marked,Yes,"Friday, 3 May 2024, 5:19 AM",-,
Participant 12895850,Submitted for grading - Not marked,Louise Crichton,68,100,Not marked,Yes,"Friday, 3 May 2024, 4:34 AM",-,
Participant 12895968,Submitted for grading - Not marked,Alvise Rogers,58,100,Not marked,Yes,"Friday, 3 May 2024, 4:24 AM","Friday, 3 May 2024, 1:30 AM",
Participant 12895943,Submitted for grading - Not marked,Louise Crichton,58,100,Not marked,Yes,"Friday, 3 May 2024, 4:14 AM",-,
Participant 12895843,Submitted for grading - Not marked,Anna Caunt,55,100,Not marked,Yes,"Friday, 3 May 2024, 4:09 AM","Friday, 3 May 2024, 4:09 AM",
Participant 12895899,Submitted for grading - Not marked,Prahlad Saldanha,58,100,Not marked,Yes,"Friday, 3 May 2024, 3:47 AM","Friday, 3 May 2024, 3:47 AM",
Participant 12895880,Submitted for grading - Not marked,Alvise Rogers,55,100,Not marked,Yes,"Friday, 3 May 2024, 3:37 AM","Friday, 3 May 2024, 3:37 AM",
Participant 12895940,Submitted for grading - Not marked,Shaun Dordoy,77,100,Not marked,Yes,"Friday, 3 May 2024, 3:00 AM","Thursday, 2 May 2024, 7:21 PM",
Participant 12895765,Submitted for grading - Not marked,Ryan Statton,55,100,Not marked,Yes,"Friday, 3 May 2024, 2:30 AM","Friday, 3 May 2024, 2:30 AM",
Participant 12895962,Submitted for grading - Not marked,Despina Djama,65,100,Not marked,Yes,"Friday, 3 May 2024, 2:25 AM","Friday, 3 May 2024, 2:25 AM",
Participant 13093535,Submitted for grading - Not marked,Louise Crichton,58,100,Not marked,Yes,"Friday, 3 May 2024, 2:22 AM","Friday, 3 May 2024, 2:22 AM",
Participant 12895870,Submitted for grading - Not marked,Ryan Statton,62,100,Not marked,Yes,"Friday, 3 May 2024, 2:06 AM","Friday, 3 May 2024, 2:06 AM",
Participant 12895970,Submitted for grading - Not marked,Spencer Talbot,62,100,Not marked,Yes,"Friday, 3 May 2024, 1:43 AM","Friday, 3 May 2024, 1:43 AM",
Participant 12895788,Submitted for grading - Not marked,Prahlad Saldanha,68,100,Not marked,Yes,"Friday, 3 May 2024, 1:36 AM","Friday, 3 May 2024, 1:36 AM",
Participant 12895744,Submitted for grading - Not marked,Nomiki Koutsoumpari,65,100,Not marked,Yes,"Friday, 3 May 2024, 1:32 AM","Friday, 3 May 2024, 1:32 AM",
Participant 12895865,Submitted for grading - Marking completed,Dar'ya Klymenko,58,100,Marking completed,Yes,"Friday, 3 May 2024, 1:27 AM","Friday, 3 May 2024, 1:27 AM",
Participant 12895808,Submitted for grading - Not marked,Despina Djama,58,100,Not marked,Yes,"Friday, 3 May 2024, 1:27 AM","Friday, 3 May 2024, 1:27 AM",
Participant 12895883,Submitted for grading - Not marked,Spencer Talbot,65,100,Not marked,Yes,"Friday, 3 May 2024, 1:25 AM","Friday, 3 May 2024, 12:13 AM",
Participant 12895802,Submitted for grading - Not marked,Prahlad Saldanha,58,100,Not marked,Yes,"Friday, 3 May 2024, 1:09 AM","Friday, 3 May 2024, 1:09 AM",
Participant 12895969,Submitted for grading - Not marked,Nomiki Koutsoumpari,65,100,Not marked,Yes,"Friday, 3 May 2024, 12:52 AM","Friday, 3 May 2024, 12:52 AM",
Participant 12895967,Submitted for grading - Not marked,Nomiki Koutsoumpari,58,100,Not marked,Yes,"Friday, 3 May 2024, 12:39 AM",-,
Participant 12895886,Submitted for grading - Not marked,Nomiki Koutsoumpari,45,100,Not marked,Yes,"Friday, 3 May 2024, 12:32 AM","Friday, 3 May 2024, 12:28 AM",
Participant 12895841,Submitted for grading - Not marked,Ryan Statton,100,100,Not marked,Yes,"Friday, 3 May 2024, 12:23 AM","Thursday, 2 May 2024, 5:06 PM",
Participant 12895811,Submitted for grading - Not marked,Shaun Dordoy,65,100,Not marked,Yes,"Friday, 3 May 2024, 12:12 AM","Friday, 3 May 2024, 12:12 AM",
Participant 12895805,Submitted for grading - Not marked,Anna Caunt,55,100,Not marked,Yes,"Friday, 3 May 2024, 12:10 AM","Friday, 3 May 2024, 12:10 AM",
Participant 12895863,Submitted for grading - Not marked,Nomiki Koutsoumpari,48,100,Not marked,Yes,"Friday, 3 May 2024, 12:04 AM",-,
Participant 12895907,Submitted for grading - Not marked,Nomiki Koutsoumpari,58,100,Not marked,Yes,"Thursday, 2 May 2024, 11:59 PM",-,
Participant 12895848,Submitted for grading - Not marked,Louise Crichton,65,100,Not marked,Yes,"Thursday, 2 May 2024, 11:56 PM","Thursday, 2 May 2024, 11:56 PM",
Participant 12895831,Submitted for grading - Not marked,Spencer Talbot,62,100,Not marked,Yes,"Thursday, 2 May 2024, 11:54 PM",-,
Participant 12895920,Submitted for grading - Not marked,Daniel Graham,62,100,Not marked,Yes,"Thursday, 2 May 2024, 11:44 PM",-,
Participant 12895857,Submitted for grading - Not marked,Louise Crichton,65,100,Not marked,Yes,"Thursday, 2 May 2024, 11:34 PM","Saturday, 27 April 2024, 11:45 PM",
Participant 12895945,Submitted for grading - Not marked,Spencer Talbot,62,100,Not marked,Yes,"Thursday, 2 May 2024, 11:18 PM","Thursday, 2 May 2024, 11:18 PM",
Participant 12895949,Submitted for grading - Marking completed,Dar'ya Klymenko,65,100,Marking completed,Yes,"Thursday, 2 May 2024, 11:12 PM","Thursday, 2 May 2024, 11:12 PM",
Participant 12895797,Submitted for grading - Not marked,Shaun Dordoy,15,100,Not marked,Yes,"Thursday, 2 May 2024, 11:07 PM","Thursday, 2 May 2024, 11:07 PM",
Participant 12895892,Submitted for grading - Not marked,Despina Djama,68,100,Not marked,Yes,"Thursday, 2 May 2024, 11:03 PM","Thursday, 2 May 2024, 11:03 PM",
Participant 12895699,Submitted for grading - Not marked,Alvise Rogers,58,100,Not marked,Yes,"Thursday, 2 May 2024, 10:58 PM","Thursday, 2 May 2024, 10:58 PM",
Participant 12895736,Submitted for grading - Not marked,Prahlad Saldanha,65,100,Not marked,Yes,"Thursday, 2 May 2024, 10:48 PM","Wednesday, 24 April 2024, 12:21 PM",
Participant 12895936,Submitted for grading - Not marked,Prahlad Saldanha,58,100,Not marked,Yes,"Thursday, 2 May 2024, 10:35 PM","Thursday, 2 May 2024, 10:35 PM",
Participant 12895700,Submitted for grading - Not marked,Spencer Talbot,62,100,Not marked,Yes,"Thursday, 2 May 2024, 10:30 PM","Thursday, 2 May 2024, 10:30 PM",
Participant 12895935,Submitted for grading - Not marked,Ryan Statton,62,100,Not marked,Yes,"Thursday, 2 May 2024, 10:23 PM","Thursday, 2 May 2024, 10:23 PM",
Participant 12895771,Submitted for grading - Marking completed,Dar'ya Klymenko,68,100,Marking completed,Yes,"Thursday, 2 May 2024, 10:23 PM","Thursday, 2 May 2024, 10:23 PM",
Participant 12895951,Submitted for grading - Not marked,Anna Caunt,65,100,Not marked,Yes,"Thursday, 2 May 2024, 10:23 PM","Thursday, 2 May 2024, 10:23 PM",
Participant 12895740,Submitted for grading - Not marked,Shaun Dordoy,65,100,Not marked,Yes,"Thursday, 2 May 2024, 10:20 PM","Thursday, 2 May 2024, 5:56 PM",
Participant 12895701,Submitted for grading - Not marked,Anna Caunt,58,100,Not marked,Yes,"Thursday, 2 May 2024, 10:17 PM","Thursday, 2 May 2024, 10:17 PM",
Participant 12895695,Submitted for grading - Not marked,Spencer Talbot,77,100,Not marked,Yes,"Thursday, 2 May 2024, 10:04 PM","Thursday, 2 May 2024, 9:05 PM",
Participant 12895775,Submitted for grading - Not marked,Spencer Talbot,65,100,Not marked,Yes,"Thursday, 2 May 2024, 9:52 PM","Thursday, 2 May 2024, 9:43 PM",
Participant 12895837,Submitted for grading - Not marked,Nomiki Koutsoumpari,58,100,Not marked,Yes,"Thursday, 2 May 2024, 9:50 PM","Thursday, 2 May 2024, 1:14 PM",
Participant 12895954,Submitted for grading - Not marked,Anna Caunt,58,100,Not marked,Yes,"Thursday, 2 May 2024, 9:37 PM","Thursday, 2 May 2024, 9:37 PM",
Participant 12895783,Submitted for grading - Not marked,Alvise Rogers,68,100,Not marked,Yes,"Thursday, 2 May 2024, 9:32 PM","Thursday, 2 May 2024, 9:32 PM",
Participant 12895803,Submitted for grading - Not marked,Nomiki Koutsoumpari,62,100,Not marked,Yes,"Thursday, 2 May 2024, 8:58 PM","Thursday, 2 May 2024, 8:58 PM",
Participant 12895830,Submitted for grading - Not marked,Daniel Graham,65,100,Not marked,Yes,"Thursday, 2 May 2024, 8:11 PM","Thursday, 2 May 2024, 3:55 PM",
Participant 12895923,Submitted for grading - Not marked,Prahlad Saldanha,58,100,Not marked,Yes,"Thursday, 2 May 2024, 8:07 PM","Tuesday, 30 April 2024, 6:41 PM",
Participant 12895757,Submitted for grading - Not marked,Anna Caunt,58,100,Not marked,Yes,"Thursday, 2 May 2024, 7:43 PM","Thursday, 2 May 2024, 7:43 PM",
Participant 12895760,Submitted for grading - Not marked,Daniel Graham,65,100,Not marked,Yes,"Thursday, 2 May 2024, 7:10 PM","Thursday, 2 May 2024, 7:07 PM",
Participant 12895780,Submitted for grading - Not marked,Prahlad Saldanha,58,100,Not marked,Yes,"Thursday, 2 May 2024, 7:08 PM","Thursday, 2 May 2024, 7:05 PM",
Participant 12895915,Submitted for grading - Not marked,Anna Caunt,68,100,Not marked,Yes,"Thursday, 2 May 2024, 7:05 PM","Wednesday, 24 April 2024, 10:29 PM",
Participant 12895815,Submitted for grading - Marking completed,Dar'ya Klymenko,58,100,Marking completed,Yes,"Thursday, 2 May 2024, 6:56 PM","Thursday, 2 May 2024, 6:56 PM",
Participant 12895927,Submitted for grading - Marking completed,Dar'ya Klymenko,68,100,Marking completed,Yes,"Thursday, 2 May 2024, 6:48 PM","Tuesday, 30 April 2024, 10:32 PM",
Participant 12895860,Submitted for grading - Not marked,Spencer Talbot,65,100,Not marked,Yes,"Thursday, 2 May 2024, 6:48 PM","Thursday, 2 May 2024, 6:48 PM",
Participant 12895869,Submitted for grading - Not marked,Spencer Talbot,65,100,Not marked,Yes,"Thursday, 2 May 2024, 6:47 PM","Thursday, 2 May 2024, 6:47 PM",
Participant 12895742,Submitted for grading - Not marked,Daniel Graham,65,100,Not marked,Yes,"Thursday, 2 May 2024, 6:15 PM","Thursday, 2 May 2024, 6:15 PM",
Participant 12895941,Submitted for grading - Not marked,Nomiki Koutsoumpari,58,100,Not marked,Yes,"Thursday, 2 May 2024, 6:07 PM","Thursday, 2 May 2024, 6:07 PM",
Participant 12895781,Submitted for grading - Not marked,Spencer Talbot,65,100,Not marked,Yes,"Thursday, 2 May 2024, 6:06 PM","Thursday, 2 May 2024, 6:06 PM",
Participant 12895852,Submitted for grading - Not marked,Nomiki Koutsoumpari,68,100,Not marked,Yes,"Thursday, 2 May 2024, 6:05 PM","Thursday, 2 May 2024, 3:35 PM",
Participant 12895938,Submitted for grading - Not marked,Daniel Graham,58,100,Not marked,Yes,"Thursday, 2 May 2024, 6:05 PM","Thursday, 2 May 2024, 6:05 PM",
Participant 12895912,Submitted for grading - Not marked,Nomiki Koutsoumpari,62,100,Not marked,Yes,"Thursday, 2 May 2024, 5:58 PM","Thursday, 2 May 2024, 5:58 PM",
Participant 12895729,Submitted for grading - Not marked,Ryan Statton,58,100,Not marked,Yes,"Thursday, 2 May 2024, 5:27 PM","Thursday, 2 May 2024, 5:27 PM",
Participant 12895928,Submitted for grading - Not marked,Joel Solomons,68,100,Not marked,Yes,"Thursday, 2 May 2024, 5:22 PM","Thursday, 2 May 2024, 5:22 PM",
Participant 12895876,Submitted for grading - Not marked,Alvise Rogers,68,100,Not marked,Yes,"Thursday, 2 May 2024, 5:17 PM","Thursday, 2 May 2024, 5:17 PM",
Participant 12895904,Submitted for grading - Not marked,Despina Djama,55,100,Not marked,Yes,"Thursday, 2 May 2024, 5:14 PM","Thursday, 2 May 2024, 5:14 PM",
Participant 12895798,Submitted for grading - Not marked,Anna Caunt,58,100,Not marked,Yes,"Thursday, 2 May 2024, 5:13 PM","Thursday, 2 May 2024, 5:13 PM",
Participant 12895881,Submitted for grading - Not marked,Spencer Talbot,65,100,Not marked,Yes,"Thursday, 2 May 2024, 5:13 PM","Thursday, 2 May 2024, 5:13 PM",
Participant 12895958,Submitted for grading - Not marked,Shaun Dordoy,77,100,Not marked,Yes,"Thursday, 2 May 2024, 4:54 PM",-,
Participant 12895821,Submitted for grading - Not marked,Despina Djama,65,100,Not marked,Yes,"Thursday, 2 May 2024, 4:51 PM","Thursday, 2 May 2024, 9:53 AM",
Participant 12895868,Submitted for grading - Not marked,Despina Djama,58,100,Not marked,Yes,"Thursday, 2 May 2024, 4:51 PM","Thursday, 2 May 2024, 4:20 PM",
Participant 12895806,Submitted for grading - Not marked,Joel Solomons,68,100,Not marked,Yes,"Thursday, 2 May 2024, 4:40 PM","Thursday, 2 May 2024, 4:40 PM",
Participant 12895924,Submitted for grading - Not marked,Spencer Talbot,68,100,Not marked,Yes,"Thursday, 2 May 2024, 3:56 PM","Thursday, 2 May 2024, 3:56 PM",
Participant 12895930,Submitted for grading - Not marked,Prahlad Saldanha,65,100,Not marked,Yes,"Thursday, 2 May 2024, 3:55 PM","Thursday, 2 May 2024, 3:55 PM",
Participant 12895934,Submitted for grading - Not marked,Spencer Talbot,68,100,Not marked,Yes,"Thursday, 2 May 2024, 3:50 PM","Thursday, 2 May 2024, 2:22 PM",
Participant 12895866,Submitted for grading - Not marked,Despina Djama,62,100,Not marked,Yes,"Thursday, 2 May 2024, 3:49 PM","Tuesday, 30 April 2024, 5:26 PM",
