Identifier,Status,Marker,Grade,Maximum Grade,Marking workflow state (Release grades and feedback),Grade can be changed,Last modified (submission),Last modified (grade),Feedback comments
Participant 12896008,Submitted for grading - Not marked,Alvise Rogers,55,100,Not marked,Yes,"Tuesday, 23 April 2024, 4:09 PM","Tuesday, 23 April 2024, 3:19 PM",
Participant 12895980,Submitted for grading - Not marked,Joel Solomons,62,100,Not marked,Yes,"Thursday, 25 April 2024, 9:56 AM","Sunday, 21 April 2024, 6:09 PM",
Participant 12895981,Submitted for grading - Not marked,Daniel Graham,58,100,Not marked,Yes,"Friday, 3 May 2024, 8:10 AM","Friday, 3 May 2024, 8:10 AM",
Participant 12895977,Submitted for grading - Not marked,Daniel Graham,55,100,Not marked,Yes,"Thursday, 2 May 2024, 11:02 PM","Thursday, 2 May 2024, 10:58 PM",
Participant 12896012,Submitted for grading - Not marked,Daniel Graham,65,100,Not marked,Yes,"Tuesday, 30 April 2024, 3:32 PM","Saturday, 27 April 2024, 7:01 PM",
Participant 12895975,Submitted for grading - Not marked,Daniel Graham,58,100,Not marked,Yes,"Friday, 3 May 2024, 11:57 AM","Friday, 3 May 2024, 11:38 AM",
Participant 12896011,Submitted for grading - Not marked,Daniel Graham,68,100,Not marked,Yes,"Thursday, 2 May 2024, 4:34 PM",-,
Participant 12896009,Submitted for grading - Not marked,Alvise Rogers,68,100,Not marked,Yes,"Monday, 29 April 2024, 7:00 PM","Monday, 29 April 2024, 7:00 PM",
Participant 12895987,Submitted for grading - Not marked,Alvise Rogers,58,100,Not marked,Yes,"Sunday, 28 April 2024, 4:08 PM","Sunday, 28 April 2024, 4:08 PM",
Participant 12895999,Submitted for grading - Not marked,Daniel Graham,65,100,Not marked,Yes,"Thursday, 2 May 2024, 5:47 PM","Thursday, 2 May 2024, 5:47 PM",
Participant 12895997,Submitted for grading - Not marked,Shaun Dordoy,65,100,Not marked,Yes,"Monday, 29 April 2024, 12:41 PM","Monday, 29 April 2024, 12:41 PM",
Participant 12896002,Submitted for grading - 16 days 7 hours late - Not marked,Shaun Dordoy,65,100,Not marked,Yes,"Sunday, 19 May 2024, 7:29 PM",-,
Participant 12896021,Submitted for grading - Not marked,Alvise Rogers,68,100,Not marked,Yes,"Tuesday, 30 April 2024, 4:27 PM","Tuesday, 30 April 2024, 4:27 PM",
Participant 12895979,Submitted for grading - Not marked,Alvise Rogers,65,100,Not marked,Yes,"Wednesday, 1 May 2024, 9:51 AM","Wednesday, 1 May 2024, 9:51 AM",
Participant 12895988,Submitted for grading - Not marked,Alvise Rogers,65,100,Not marked,Yes,"Thursday, 2 May 2024, 3:51 AM","Thursday, 2 May 2024, 3:51 AM",
Participant 12896022,Submitted for grading - Not marked,Joel Solomons,88,100,Not marked,Yes,"Thursday, 25 April 2024, 9:26 AM","Monday, 22 April 2024, 1:41 PM",
Participant 12895986,Submitted for grading - Not marked,Joel Solomons,62,100,Not marked,Yes,"Friday, 3 May 2024, 12:31 AM","Friday, 3 May 2024, 12:31 AM",
Participant 12896013,Submitted for grading - Not marked,Shaun Dordoy,68,100,Not marked,Yes,"Thursday, 25 April 2024, 12:43 PM","Thursday, 25 April 2024, 12:43 PM",
Participant 12895991,Submitted for grading - Not marked,Daniel Graham,52,100,Not marked,Yes,"Wednesday, 1 May 2024, 7:10 PM","Wednesday, 1 May 2024, 7:10 PM",
Participant 12896018,Submitted for grading - Not marked,Joel Solomons,65,100,Not marked,Yes,"Tuesday, 23 April 2024, 3:09 PM","Thursday, 18 April 2024, 2:53 PM",
Participant 12895976,Submitted for grading - Not marked,Daniel Graham,65,100,Not marked,Yes,"Friday, 3 May 2024, 11:14 AM",-,
Participant 12896016,Submitted for grading - Not marked,Daniel Graham,58,100,Not marked,Yes,"Friday, 3 May 2024, 2:00 AM","Friday, 3 May 2024, 2:00 AM",
Participant 12896015,No submission - Not marked,Joel Solomons,0,100,Not marked,Yes,-,-,
Participant 12896005,Submitted for grading - Not marked,Shaun Dordoy,100,100,Not marked,Yes,"Thursday, 2 May 2024, 9:04 AM","Wednesday, 24 April 2024, 1:41 PM",
Participant 12895978,Submitted for grading - Not marked,Alvise Rogers,62,100,Not marked,Yes,"Tuesday, 30 April 2024, 6:04 PM",-,
Participant 12895993,Submitted for grading - Not marked,Alvise Rogers,55,100,Not marked,Yes,"Friday, 3 May 2024, 11:05 AM","Friday, 3 May 2024, 11:05 AM",
Participant 12895994,Submitted for grading - Not marked,Alvise Rogers,58,100,Not marked,Yes,"Tuesday, 30 April 2024, 1:56 PM","Tuesday, 30 April 2024, 1:56 PM",
Participant 12895996,Submitted for grading - Not marked,Alvise Rogers,58,100,Not marked,Yes,"Friday, 3 May 2024, 9:16 AM","Friday, 3 May 2024, 9:16 AM",
Participant 12896001,Submitted for grading - Not marked,Alvise Rogers,68,100,Not marked,Yes,"Thursday, 25 April 2024, 2:44 PM",-,
Participant 12896004,Submitted for grading - Not marked,Alvise Rogers,77,100,Not marked,Yes,"Tuesday, 30 April 2024, 11:10 AM","Tuesday, 30 April 2024, 11:10 AM",
Participant 12896010,Submitted for grading - Not marked,Alvise Rogers,55,100,Not marked,Yes,"Friday, 3 May 2024, 2:49 AM",-,
Participant 12895998,Submitted for grading - Not marked,Shaun Dordoy,68,100,Not marked,Yes,"Tuesday, 30 April 2024, 9:18 PM","Tuesday, 30 April 2024, 9:18 PM",
Participant 12896006,Submitted for grading - Not marked,Shaun Dordoy,65,100,Not marked,Yes,"Friday, 3 May 2024, 8:58 AM","Friday, 3 May 2024, 8:58 AM",
Participant 12896020,Submitted for grading - Not marked,Shaun Dordoy,88,100,Not marked,Yes,"Friday, 3 May 2024, 9:12 AM","Thursday, 2 May 2024, 10:39 PM",
